Age,Mobile_Recharge_Level,Bill_Paid_On_Time,Freelance_Rating,Location_Changes_Per_Month,Monthly_Income_k,Creditworthy
52,Medium,Yes,4.5,1,32.59,Yes
19,Low,Yes,4.4,1,38.68,Yes
22,Low,Yes,3.6,2,24.69,Yes
43,Low,No,4.6,3,12.62,No
59,High,No,3.8,2,35.4,No
27,High,Yes,4.6,1,30.09,Yes
39,Medium,Yes,4.2,0,17.47,Yes
49,High,Yes,4.7,1,37.28,Yes
34,High,No,3.4,2,15.28,No
45,Medium,Yes,5,0,26.88,Yes
27,Low,Yes,4.6,1,38.11,Yes
53,Medium,No,4.5,0,46.65,Yes
27,Medium,Yes,4.2,4,27.69,Yes
32,Low,Yes,4.1,1,17.21,Yes
39,Low,No,4.2,0,45.43,Yes
38,Low,No,4.1,3,27.83,No
24,Low,Yes,4.9,1,17.01,No
30,Low,Yes,4.7,0,30.78,Yes
40,High,No,5,1,35.75,Yes
36,Low,Yes,4.8,1,27.05,Yes
33,High,No,4,0,31.1,Yes
59,Medium,Yes,4.7,2,30.84,Yes
120,Medium,Yes,3.7,2,31.48,Yes
48,Medium,No,5,2,21,Yes
38,Low,Yes,4,2,13.19,No
20,Low,Yes,5,3,43.87,Yes
36,Medium,Yes,4.1,4,20.47,Yes
53,Low,No,3.8,0,11.89,Yes
45,Medium,No,4.3,2,30.77,Yes
44,Medium,No,4.7,1,33.76,Yes
27,Medium,Yes,4.3,2,7.32,Yes
43,High,No,4.5,1,19.67,Yes
23,Medium,Yes,4,2,15.01,No
41,Low,Yes,3.7,2,16.73,No
48,Medium,No,4.2,0,17.53,No
37,Medium,Yes,3.4,1,14.05,No
32,Low,Yes,4.2,1,30.16,Yes
31,Medium,No,4.7,0,12.46,No
41,Medium,Yes,3.8,0,41.29,Yes
39,Medium,Yes,4,2,26.52,Yes
23,High,Yes,4.4,0,16.16,Yes
27,Medium,Yes,4.6,0,45.57,Yes
120,Low,Yes,2.9,4,24.63,No
57,High,No,4,3,30.11,No
42,Low,Yes,3.7,2,9.84,No
36,Medium,Yes,5,1,17.93,Yes
26,Medium,No,3.5,2,26.18,No
20,Medium,No,4.2,1,12.17,No
25,High,Yes,4.1,1,13.37,Yes
49,Low,No,3.6,4,24.59,No
44,Medium,Yes,3.9,2,12.43,No
55,Medium,No,4,2,5.45,No
51,High,No,3.2,0,26.62,Yes
43,Low,Yes,4,2,15.78,Yes
120,Medium,No,3.9,0,31.66,No
33,Low,Yes,4.5,1,14.93,Yes
20,Medium,Yes,3.6,0,18.22,No
31,High,Yes,4.4,1,32.47,Yes
44,Medium,Yes,3.9,0,11.79,No
36,High,Yes,3.9,2,24.09,Yes
36,High,No,4.7,3,29.95,Yes
36,High,Yes,4.4,0,43.38,Yes
47,Low,Yes,4.7,0,19.47,Yes
58,Low,No,4.5,2,33.99,Yes
33,Low,No,4.2,3,20.33,No
37,Low,Yes,4.3,0,42.09,Yes
52,High,No,4.6,1,51.88,Yes
29,Medium,Yes,3.6,0,20.31,Yes
38,Medium,Yes,3.6,1,32.83,Yes
39,Medium,No,3.7,2,15.69,No
55,Low,Yes,3.9,0,5,No
25,Low,Yes,3.4,2,5,No
37,Low,Yes,4,3,17.48,No
58,Medium,Yes,3.7,1,27.69,Yes
58,Low,Yes,4.2,1,19.1,Yes
57,Medium,Yes,4.4,1,30.09,Yes
43,High,No,4.3,1,18.85,Yes
47,High,Yes,4.3,2,16.81,Yes
32,Medium,Yes,5,3,38.27,Yes
26,Medium,No,3.8,1,28.62,No
33,High,No,4.4,1,44.01,No
32,Low,Yes,3,4,32.33,No
52,Low,Yes,4.4,1,35.51,Yes
20,High,No,3.1,1,18.07,No
53,Medium,Yes,3.4,1,25.44,Yes
18,Medium,Yes,4.2,1,23.39,Yes
48,Medium,Yes,4.9,2,26.11,Yes
22,Low,No,3.5,0,25.98,No
44,Low,Yes,4,2,40.99,Yes
59,Medium,Yes,4.3,1,24.86,Yes
34,Medium,Yes,3.5,3,26.43,No
20,Medium,Yes,3.4,2,16.35,No
45,Medium,No,4.4,0,21.42,Yes
34,Medium,Yes,4.8,2,18.66,Yes
22,Medium,Yes,4.4,2,29.68,Yes
28,Medium,Yes,4,0,44.68,Yes
23,Low,Yes,4.2,2,28.91,Yes
55,Medium,Yes,5,3,13.43,No
120,Medium,No,4.4,1,39.92,Yes
26,Low,Yes,3.4,1,34.63,Yes
20,Medium,Yes,4.6,0,26.95,Yes
49,High,Yes,4.2,3,35.8,Yes
52,Low,No,4.8,1,30.13,Yes
18,Medium,Yes,4.3,1,26.45,Yes
40,Medium,Yes,3.2,0,8.67,No
52,Medium,Yes,5,0,31.72,Yes
36,Medium,Yes,4.2,2,16.83,Yes
19,Medium,Yes,4.5,1,21.61,Yes
44,Low,Yes,4.3,0,37.03,No
30,Medium,Yes,3.7,2,28.35,Yes
27,High,Yes,4.5,1,47.19,Yes
41,Low,Yes,3.8,0,40.57,Yes
51,Low,Yes,3.8,1,25.15,Yes
40,Medium,Yes,4.5,0,23.26,Yes
45,Low,Yes,4.6,2,20.12,Yes
30,Medium,Yes,4.3,0,29.6,Yes
40,Medium,Yes,5,0,34.26,Yes
40,Low,No,3.9,0,16.7,No
21,Medium,Yes,4.3,1,22.15,Yes
54,Medium,Yes,4.2,0,36.12,Yes
31,Medium,Yes,4,2,28.27,Yes
26,Medium,Yes,4,2,28.65,Yes
41,High,Yes,4.3,2,21.6,Yes
52,Medium,No,4.3,0,39.8,Yes
27,Low,Yes,4.1,1,15.06,Yes
120,High,Yes,4.6,0,28.67,Yes
43,Medium,Yes,4.6,2,32.18,Yes
59,Medium,No,4,0,19.26,No
42,Medium,Yes,3.5,0,10.32,No
53,Medium,No,4.5,2,44.44,Yes
39,Low,No,4.4,2,26.5,Yes
43,Medium,No,4.3,3,9.06,No
34,Low,Yes,4.4,2,15.06,Yes
25,Medium,Yes,3.5,2,33.49,Yes
48,Medium,Yes,3.7,0,45.9,Yes
55,Medium,Yes,5,0,25.07,Yes
55,High,No,3.4,2,26.92,Yes
25,Low,Yes,4.5,2,28.71,Yes
52,Medium,Yes,4.2,0,31.24,No
54,Medium,Yes,4.3,1,18.38,Yes
46,High,No,4.2,2,30.72,Yes
25,Medium,Yes,4.1,6,9.54,No
45,High,Yes,3.4,2,31.05,Yes
44,Low,Yes,4.7,0,22.82,Yes
53,Low,Yes,3.4,4,8.97,No
35,High,Yes,3.1,4,41.1,Yes
28,Medium,Yes,3.5,2,32.08,Yes
38,Medium,No,3.7,5,11.7,No
120,Medium,Yes,3.7,1,14.7,No
44,Low,No,2.6,3,26.99,No
41,Medium,No,2.4,0,37.48,No
40,High,Yes,5,1,49.34,Yes
23,Low,No,3.8,1,14.77,No
39,Medium,No,4.6,3,13.51,No
120,Medium,No,3.9,4,13.65,No
38,Low,Yes,5,0,19.95,Yes
51,Medium,Yes,4.6,1,9.97,Yes
38,Medium,No,3.7,2,30.39,No
32,Medium,Yes,4.3,2,29.98,Yes
58,Low,Yes,4.5,3,32.79,Yes
20,Medium,Yes,4.7,0,22.8,Yes
52,Low,No,4.2,1,29.55,Yes
36,Medium,Yes,2.8,1,38.5,Yes
57,Low,No,2.9,0,35.97,No
27,High,Yes,3.3,2,35.15,No
31,Medium,Yes,4.2,1,18.6,No
44,Medium,No,4.8,1,23.15,Yes
50,Low,Yes,3.5,0,37.36,Yes
56,High,Yes,4.9,0,39.48,Yes
36,Medium,Yes,4.2,1,22.33,Yes
22,High,Yes,4.4,0,12.12,Yes
29,Low,Yes,5,3,26.19,Yes
56,Low,No,4.1,2,17.77,No
19,Low,Yes,4.9,1,35.14,Yes
53,Low,Yes,5,0,15.22,Yes
38,Low,Yes,4.8,1,36.7,Yes
21,High,Yes,4.7,1,39.59,Yes
55,Low,Yes,3.7,3,23.59,No
46,Medium,Yes,5,1,30.4,Yes
56,Low,No,3.7,1,18.09,No
57,Medium,Yes,4.5,1,11.5,Yes
27,High,Yes,3.1,2,24.45,Yes
44,Medium,Yes,4.6,2,22.91,Yes
45,High,No,4.8,3,22.63,Yes
120,Medium,Yes,5,1,25,Yes
39,Medium,Yes,4.7,0,24.83,Yes
20,Medium,Yes,3.8,0,20.08,Yes
22,Medium,No,4.7,3,34.58,No
29,Low,Yes,2.9,3,30.33,No
49,High,No,3.4,1,39.49,Yes
38,High,Yes,3.9,3,35.33,Yes
33,Medium,Yes,3.5,1,28.59,Yes
40,Medium,No,4.3,2,36.21,Yes
47,Low,Yes,4,1,29.25,Yes
53,Low,Yes,3.7,1,19.9,No
32,Medium,Yes,4.2,3,27.22,Yes
59,Low,Yes,4.8,2,22.59,Yes
46,Medium,No,3.6,5,25.32,No
42,Medium,Yes,4,5,28.64,No
39,High,Yes,4.9,1,18.74,Yes
19,Medium,Yes,4.2,1,23.02,Yes
19,Low,No,4.7,1,5,No
35,Medium,No,3.1,0,31.2,No
31,Medium,Yes,3.8,3,5,No
19,Medium,Yes,4.4,0,40.13,No
25,Medium,Yes,2.9,2,28.05,Yes
36,Medium,No,3.9,5,20.21,No
53,High,Yes,3.7,2,35.61,Yes
57,Medium,Yes,4,2,10.94,Yes
34,Medium,Yes,3.1,3,5,No
20,High,Yes,3.5,0,16.05,Yes
30,Medium,No,4.1,4,38.08,No
25,Low,Yes,4.4,0,9.35,Yes
120,Medium,Yes,5,2,26.04,Yes
25,Low,Yes,4.7,2,31.12,Yes
32,Medium,Yes,4,0,35.99,Yes
52,Low,Yes,4.3,1,29.84,Yes
52,High,Yes,3.2,0,10.25,Yes
46,Medium,Yes,3.7,1,40.32,Yes
41,Medium,Yes,5,1,38.51,Yes
21,High,Yes,4.2,4,32.15,Yes
28,Low,Yes,4.9,1,35.78,Yes
36,Medium,No,3.4,0,21.11,No
34,High,Yes,5,4,33.54,Yes
47,High,Yes,4.5,0,35.41,Yes
28,Medium,Yes,3.7,4,23.51,No
120,Medium,Yes,4.4,2,25.75,Yes
37,Medium,Yes,5,2,14.94,Yes
51,Low,Yes,4.1,1,9.51,Yes
32,Low,No,3.2,2,20.37,No
47,Low,No,3.4,2,12,No
21,Low,Yes,4.2,1,16.52,Yes
120,Low,Yes,3.8,1,35.08,Yes
120,Low,Yes,4.7,0,19.5,Yes
51,Medium,No,5,2,33.14,Yes
56,Medium,No,2.7,3,44.87,No
52,Medium,Yes,3.8,4,41.9,No
30,Medium,Yes,3.5,1,31.61,Yes
49,Low,Yes,4.1,2,27.3,Yes
33,Low,No,4.2,0,29.45,Yes
31,Low,No,4,2,32.39,No
42,Low,Yes,5,3,47.67,Yes
37,Medium,Yes,4.4,0,8.35,Yes
41,Medium,No,3.8,2,17.67,No
42,Medium,Yes,4.2,3,41.12,Yes
35,Low,Yes,3.8,3,13.9,Yes
48,Low,Yes,4.6,4,20.46,Yes
49,Low,No,4.3,1,16.07,No
18,Medium,Yes,4.3,1,18.56,Yes
46,High,No,4.1,2,31.33,Yes
25,Medium,Yes,4.1,3,24.36,Yes
34,Medium,Yes,4.7,2,10.08,Yes
120,High,Yes,4.8,2,35.38,Yes
52,Low,Yes,4.2,3,27.3,Yes
44,Low,Yes,3.5,2,27.98,Yes
41,Medium,Yes,4.7,4,33.16,Yes
32,Medium,No,4.7,3,15.31,No
18,Medium,No,4.3,2,31.16,Yes
50,Low,Yes,4.7,2,38.72,Yes
40,Medium,No,4.4,3,37.72,No
25,High,No,4.3,1,15.88,Yes
55,Low,Yes,5,0,31.02,Yes
47,High,Yes,4.4,2,28.78,Yes
45,High,Yes,4.2,1,29.51,Yes
42,Medium,Yes,4.5,1,11.65,Yes
59,High,No,2.9,2,21.71,Yes
43,Low,No,4.6,1,22.61,Yes
25,High,No,3.7,2,5,No
39,Low,Yes,4.6,1,26.49,Yes
35,Medium,No,3.9,1,30.5,No
52,Low,Yes,2.9,3,36.44,No
18,Medium,No,5,1,44.55,Yes
21,Medium,Yes,4.3,1,9.83,Yes
25,Medium,No,4.3,2,31.93,Yes
120,Low,No,3.5,2,5,No
21,Medium,Yes,3.3,1,20.86,Yes
120,Medium,Yes,4.1,2,29.2,Yes
23,Medium,Yes,5,3,10.32,No
31,Medium,Yes,3.4,1,30.72,Yes
47,Medium,Yes,3.2,3,44.81,No
58,Low,Yes,3.9,1,22.75,Yes
39,High,Yes,4.5,2,21.42,Yes
120,Medium,Yes,4.5,3,31.72,Yes
59,Medium,Yes,4.2,1,29.43,Yes
25,High,Yes,3.8,3,25.7,Yes
53,High,No,4.1,2,16.03,Yes
33,Medium,Yes,4.4,3,30.2,Yes
120,Medium,No,3.8,0,29.56,No
23,Medium,Yes,4.2,2,24.11,Yes
51,Low,Yes,4.5,2,21.74,Yes
36,Medium,No,3.9,1,28.55,No
22,Low,No,5,1,13.58,No
59,Medium,Yes,4.9,4,17.97,No
27,Medium,Yes,4.9,0,27.1,Yes
48,Medium,No,5,0,27.95,Yes
29,Low,No,4.6,1,17.76,No
36,Low,No,4.7,1,29.51,Yes
19,Medium,Yes,4.6,1,24.45,No
59,Low,Yes,4,1,22.26,Yes
33,Medium,Yes,4.1,1,30.33,Yes
49,High,No,5,3,24.05,No
31,Medium,No,3.5,0,28.22,No
38,Low,Yes,3.2,2,35.59,Yes
53,High,No,3.2,3,33.74,No
33,Low,Yes,4.9,0,42.35,Yes
23,Medium,No,4.3,2,22.59,Yes
22,Low,Yes,4.7,0,32.21,No
50,Low,Yes,3.5,0,26.78,Yes
49,High,No,4.6,0,52.66,Yes
42,Medium,Yes,3.9,0,5,No
49,Low,No,5,4,5,No
18,Medium,Yes,3.5,0,36.37,Yes
20,Medium,Yes,4.3,1,15.07,Yes
36,Medium,Yes,3.9,2,7.62,No
25,High,Yes,5,1,18.58,Yes
36,High,No,3.7,0,24.55,Yes
59,High,Yes,5,1,24.81,No
120,Low,No,3.5,1,26.36,No
56,Medium,Yes,4.5,2,42.96,Yes
41,High,No,3.9,4,33.71,Yes
45,High,Yes,4.3,2,15.21,Yes
36,Low,Yes,4.2,0,17.78,Yes
47,High,No,4.4,0,24.7,Yes
55,Medium,Yes,3.8,0,29.11,Yes
27,Medium,Yes,3.1,1,39.9,Yes
51,Low,Yes,3.6,0,31.89,Yes
26,Low,Yes,3.7,2,14.72,No
35,Low,No,4.8,2,26.68,Yes
43,Medium,Yes,3.8,3,14.91,No
24,Medium,Yes,5,2,9.21,Yes
54,Low,No,4.4,1,20.11,Yes
38,Low,Yes,3,1,33.7,Yes
35,Medium,No,3.4,1,19.68,No
28,High,Yes,4.9,4,19.41,Yes
33,High,Yes,4.1,1,24.59,Yes
39,Low,Yes,4.3,1,40.89,Yes
32,Medium,Yes,4.5,1,18.65,Yes
29,Medium,Yes,2.8,1,21.61,Yes
21,Low,Yes,4.8,1,52.51,Yes
31,High,Yes,4.3,1,11.63,Yes
33,High,Yes,3.2,4,26.2,Yes
30,Low,Yes,3.6,0,30.02,Yes
44,Medium,Yes,4.8,0,43.3,Yes
51,Low,No,4.5,0,25.57,Yes
30,Low,Yes,3.4,1,30.07,Yes
29,Low,Yes,4.9,2,18.73,Yes
41,Medium,Yes,3.8,2,35.78,Yes
36,Medium,Yes,4.4,2,32.84,Yes
39,Low,Yes,3.6,0,22.16,Yes
39,High,No,5,1,13.31,Yes
47,High,Yes,4.6,0,12.79,Yes
44,Medium,Yes,4.9,1,18.76,Yes
26,Medium,Yes,4.2,0,10.93,Yes
40,Medium,No,4.3,0,21.31,Yes
58,Medium,Yes,4.6,0,26.23,Yes
52,Low,Yes,3.7,0,38.78,No
52,High,Yes,4.8,2,26.85,Yes
120,Low,Yes,3.6,0,20.14,No
57,Low,Yes,5,2,38.31,Yes
56,Medium,No,4.6,0,41.59,Yes
26,Medium,Yes,4,1,32.85,Yes
32,Low,No,5,5,10.21,No
25,Medium,Yes,3.1,1,14.41,No
24,Medium,Yes,4.5,2,26.88,Yes
42,Low,Yes,4.2,2,29.86,Yes
52,Medium,Yes,3.7,1,32.64,Yes
33,High,No,3.8,1,35.51,Yes
36,High,Yes,3.9,1,23.17,Yes
25,Low,Yes,5,3,15.87,Yes
120,Medium,No,3.5,2,37.3,No
51,Low,Yes,4.2,0,23.7,Yes
56,Medium,No,4.1,1,28.39,Yes
18,Medium,Yes,5,1,39.87,Yes
24,Medium,Yes,4,0,35.5,Yes
28,Medium,Yes,5,1,6.56,Yes
22,High,No,4.1,3,31.68,Yes
41,Low,Yes,3.6,0,12.98,Yes
44,Medium,Yes,3.7,2,16.63,No
120,Medium,No,4.1,0,26.31,Yes
32,Medium,Yes,2.6,3,34.43,No
120,Medium,Yes,4.8,2,23.58,Yes
39,Low,No,3.6,1,43.27,No
19,High,Yes,3.7,1,35.98,Yes
33,Medium,Yes,4.9,0,24.33,Yes
53,Medium,Yes,4.5,3,32.03,Yes
18,Low,Yes,3.5,2,10.1,No
53,High,Yes,4.7,1,16.85,Yes
35,Medium,No,4.8,3,30.69,No
51,Medium,No,4.4,1,24.89,Yes
18,High,Yes,4,2,31.47,Yes
59,Low,No,4.8,0,20.02,Yes
18,High,Yes,3.4,1,26.6,Yes
52,Medium,Yes,4.4,2,41.92,Yes
34,Medium,Yes,3.6,1,34.91,Yes
120,High,Yes,4.6,0,20.88,Yes
57,Low,Yes,4.2,0,37.59,Yes
40,High,Yes,4.8,3,25.1,Yes
19,Low,Yes,5,2,25.16,Yes
23,Medium,Yes,3.8,4,16.76,No
22,Low,No,5,1,19.34,No
40,Medium,Yes,5,5,27.11,Yes
23,Medium,Yes,4.9,1,28.8,No
27,High,Yes,4.6,3,26.07,Yes
19,Medium,Yes,3.4,1,21.2,Yes
43,Medium,Yes,3.4,1,30.91,No
57,Low,Yes,4.5,1,20.65,Yes
41,Medium,No,4.6,3,16.93,No
35,Medium,Yes,3.4,1,29.29,Yes
21,High,No,4.8,0,27.43,Yes
32,Medium,Yes,5,1,23.71,Yes
49,Medium,Yes,4.3,2,33.5,Yes
43,Medium,No,4.3,3,30.71,No
42,Medium,Yes,5,2,21.78,Yes
58,Low,Yes,4,0,50.24,Yes
37,Low,No,3.7,3,5,No
51,Medium,Yes,3.8,0,24,Yes
40,Low,Yes,4.3,0,37.15,No
20,Medium,No,4,2,35.94,No
